"status","network","netmask","nexthop","metric","locprf","weight","path","origin"
"*","1.0.0.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 15169","i"
"*>","1.0.0.0","24","200.219.145.23",NA,NA,0,"53242 7738 15169","i"
"*","1.0.4.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 1299 7545 56203","i"
"*>","1.0.4.0","24","200.219.145.23",NA,NA,0,"53242 12956 174 7545 56203","i"
"*","1.0.5.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 1299 7545 56203","i"
"*>","1.0.5.0","24","200.219.145.23",NA,NA,0,"53242 12956 174 7545 56203","i"
"*","1.0.6.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 2828 4826 38803 56203","i"
"*>","1.0.6.0","24","200.219.145.23",NA,NA,0,"53242 7738 6939 4826 38803 56203","i"
"*","1.0.7.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 2828 4826 38803 56203","i"
"*>","1.0.7.0","24","200.219.145.23",NA,NA,0,"53242 7738 6939 4826 38803 56203","i"
"*","1.0.11.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 10026 18046","i"
"*>","1.0.11.0","24","200.219.145.23",NA,NA,0,"53242 12956 174 10026 18046","i"
"*","1.0.12.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 10026 18046","i"
"*>","1.0.12.0","24","200.219.145.23",NA,NA,0,"53242 12956 174 10026 18046","i"
"*","1.0.13.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 10026 18046","i"
"*>","1.0.13.0","24","200.219.145.23",NA,NA,0,"53242 12956 174 10026 18046","i"
"*","1.0.20.0","23","200.219.145.45",NA,NA,0,"28135 18881 3549 6762 10026 2519","i"
"*>","1.0.20.0","23","200.219.145.23",NA,NA,0,"53242 12956 2516 2519","i"
"*","1.0.22.0","23","200.219.145.45",NA,NA,0,"28135 18881 3549 6762 10026 2519","i"
"*>","1.0.22.0","23","200.219.145.23",NA,NA,0,"53242 12956 2516 2519","i"
"*","1.0.24.0","23","200.219.145.45",NA,NA,0,"28135 18881 3549 6762 10026 2519","i"
"*>","1.0.24.0","23","200.219.145.23",NA,NA,0,"53242 12956 2516 2519","i"
"*","1.0.26.0","23","200.219.145.45",NA,NA,0,"28135 18881 3549 6762 10026 2519","i"
"*>","1.0.26.0","23","200.219.145.23",NA,NA,0,"53242 12956 2516 2519","i"
"*","1.0.28.0","22","200.219.145.45",NA,NA,0,"28135 18881 3549 6762 10026 2519","i"
"*>","1.0.28.0","22","200.219.145.23",NA,NA,0,"53242 12956 2516 2519","i"
"*","1.0.38.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 9304 24155","i"
"*>","1.0.38.0","24","200.219.145.23",NA,NA,0,"53242 12956 3491 24155","i"
"*","1.0.41.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 9304 24155","i"
"*>","1.0.41.0","24","200.219.145.23",NA,NA,0,"53242 12956 3491 24155","i"
"*","1.0.42.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 9304 24155","i"
"*>","1.0.42.0","24","200.219.145.23",NA,NA,0,"53242 12956 3491 24155","i"
"*","1.0.43.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 9304 24155","i"
"*>","1.0.43.0","24","200.219.145.23",NA,NA,0,"53242 12956 3491 24155","i"
