"status","network","netmask","nexthop","metric","locprf","weight","path","origin"
"*","14.102.35.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 6762 9498 9730 18002","i"
"*>","14.102.35.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 9498 9730 18002","i"
"*","14.102.36.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 6762 9498 9730 18002","i"
"*>","14.102.36.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 9498 9730 18002","i"
"*","14.102.37.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 15412 18101 18002","i"
"*>","14.102.37.0","24","200.219.145.23",NA,NA,0,"53242 12956 1299 15412 18101 18002","i"
"*","14.102.38.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 15412 18101 18002","i"
"*>","23.36.48.0","20","200.219.145.23",NA,NA,0,"53242 12956 2914","i"
"*","23.36.64.0","20","200.219.145.45",NA,NA,0,"28135 18881 3549 1299 20940","i"
"*>","23.36.64.0","20","200.219.145.23",NA,NA,0,"53242 12956 1299 20940","i"
"*","23.36.80.0","20","200.219.145.45",NA,NA,0,"28135 18881 3549 2914 20940 16625","i"
"*>","23.36.80.0","20","200.219.145.23",NA,NA,0,"53242 12956 2914 20940 16625","i"
"*","23.36.96.0","20","200.219.145.45",NA,NA,0,"28135 18881 3549 2516 20940","i"
"*>","23.36.96.0","20","200.219.145.23",NA,NA,0,"53242 12956 2516 20940","i"
"*","31.131.224.0","20","200.219.145.45",NA,NA,0,"28135 18881 3549 6762 29405 31117 56933","i"
"*>","31.131.224.0","20","200.219.145.23",NA,NA,0,"53242 12956 6762 29405 31117 56933","i"
"*","31.131.224.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 6762 29405 31117 56933","?"
"*>","31.131.224.0","24","200.219.145.23",NA,NA,0,"53242 12956 6762 29405 31117 56933","?"
"*","31.131.240.0","21","200.219.145.45",NA,NA,0,"28135 18881 3549 6762 12874","i"
"*","70.61.64.0","18","200.219.145.45",NA,NA,0,"28135 18881 3549 7843 11426","i"
"*>","70.61.90.0","24","200.219.145.23",NA,NA,0,"53242 12956 7843 11426","i"
"*","115.160.8.0","21","200.219.145.23",NA,NA,0,"53242 7738 6453 3786 9694","i"
"*>","115.160.8.0","21","200.219.145.45",NA,NA,0,"28135 18881 3549 3786 9694","i"
"*>","190.156.232.0","24","200.219.145.23",NA,NA,0,"53242 12956 1239 14080 10620","?"
"*","190.156.232.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 1239 14080 10620","?"
