"status","network","netmask","nexthop","metric","locprf","weight","path","origin"
"*","1.0.0.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 15169","i"
"*>","1.177.212.0","22","200.219.145.23",NA,NA,0,"53242 12956 2914 9318 38091 9845 10037","i"
"*","1.177.216.0","22","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 15412 9848 38091 9845 10037","i"
"*>","1.177.216.0","22","200.219.145.23",NA,NA,0,"53242 12956 2914 9318 38091 9845 10037","i"
"*","1.177.220.0","22","200.219.145.45",NA,NA,0,"28135 18881 3549 2828 9318 38091 9845","i"
"*>","1.177.220.0","22","200.219.145.23",NA,NA,0,"53242 12956 2828 9318 38091 9845","i"
"*","5.230.243.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3320 12586","i"
"*>","5.230.243.0","24","200.219.145.23",NA,NA,0,"53242 12956 3320 12586","i"
"*>","14.163.127.0","24","200.219.145.23",NA,NA,0,"53242 12956 1299 7473 45899","i"
"*","14.163.128.0","19","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 45899","i"
"*>","14.163.128.0","19","200.219.145.23",NA,NA,0,"53242 12956 3356 45899","i"
"*","14.163.160.0","19","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 45899","i"
"*>","23.227.183.0","24","200.219.145.23",NA,NA,0,"53242 12956 6461 54540","i"
"*","23.227.184.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 6461 54540","i"
"*>","27.111.80.0","20","200.219.145.23",NA,NA,0,"53242 12956 174 7545 2764 9280","i"
"*>","63.245.89.224","30","200.219.145.23",NA,NA,0,"53242 7738 23520","i"
"*>","63.245.93.88","30","200.219.145.23",NA,NA,0,"53242 7738 23520","i"
"*>","63.245.93.104","29","200.219.145.23",NA,NA,0,"53242 7738 23520","i"
"*>","63.245.93.124","30","200.219.145.23",NA,NA,0,"53242 7738 23520","i"
"*>","80.90.24.0","22","200.219.145.23",NA,NA,0,"53242 12956 174 20764 21156 47485","i"
"*>","80.90.28.0","24","200.219.145.23",NA,NA,0,"53242 12956 174 20764 21156","i"
"*>","115.119.114.0","23","200.219.145.23",NA,NA,0,"53242 12956 6453 4755","i"
"*","115.119.114.0","23","200.219.145.45",NA,NA,0,"28135 18881 3549 6453 4755","i"
"*","130.193.68.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 20485 49063","i"
"*>","159.66.220.0","24","200.219.145.23",NA,NA,0,"53242 12956 7018 30175","i"
"*","159.66.220.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 7018 30175","i"
"*>","185.28.16.0","24","200.219.145.23",NA,NA,0,"53242 12956 3257 42927","i"
"*","185.28.16.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 9002 42927","i"
"*","193.111.17.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 8708 47774","i"
"*>","201.71.248.0","21","200.219.145.45",NA,NA,0,"28135 18881 4230 28657","i"
"*","201.72.0.0","16","200.219.145.23",NA,NA,0,"53242 7738 4230","i"
"*","201.74.96.0","19","200.219.145.23",NA,NA,0,"53242 7738 4230 28573","i"
"*>","201.74.96.0","19","200.219.145.45",NA,NA,0,"28135 18881 4230 28573","i"
"*","201.74.128.0","19","200.219.145.23",NA,NA,0,"53242 7738 4230 28573","i"
"*>","201.74.128.0","19","200.219.145.45",NA,NA,0,"28135 18881 4230 28573","i"
"*","202.175.0.0","19","200.219.145.45",NA,NA,0,"28135 18881 3549 6762 10026 7617 4609","i"
"*","203.117.164.0","24","200.219.145.45",NA,NA,0,"28135 18881 12956 4657","i"
"*>","203.117.165.0","24","200.219.145.23",NA,NA,0,"53242 12956 4657","i"
"*","203.117.165.0","24","200.219.145.45",NA,NA,0,"28135 18881 12956 4657","i"
"*>","203.117.169.0","24","200.219.145.23",NA,NA,0,"53242 12956 4657","i"
